Marca,Modelo,Ano-modelo,Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12,Mes 13,Mes 14,Mes 15,Mes 16,Mes 17,Mes 18,Mes 19,Mes 20,Mes 21,Mes 22,Mes 23,Mes 24,Mes 25,Mes 26,Mes 27,Mes 28,Mes 29,Mes 30,Mes 31,Mes 32,Mes 33,Mes 34,Mes 35,Mes 36
Mitsubishi,L200 Triton Savana 3.2 CD TBI Dies. Mec.,2017,"115,745.00","117,116.00","117,580.00","117,976.00","118,373.00","115,020.00","117,128.00","117,164.00","118,787.00","117,934.00","116,679.00","118,203.00","119,854.00","121,453.00","121,705.00","121,398.00","123,058.00","124,684.00","126,369.00","122,768.00","120,312.00","118,037.00","115,774.00","114,009.00","112,889.00","111,025.00","110,422.00","109,474.00","109,560.00","107,361.00","104,676.00","107,271.00","107,188.00","106,294.00","107,144.00","107,688.00"
Mitsubishi,L200 Triton Savana 3.2 CD TBI Dies. Mec.,2018,"125,695.00","125,585.00","125,727.00","125,691.00","126,810.00","128,522.00","130,236.00","127,745.00","127,148.00","127,377.00","127,276.00","124,367.00","125,245.00","124,015.00","125,245.00","123,491.00","125,245.00","122,239.00","120,320.00","122,254.00","123,445.00","122,254.00","120,563.00","117,548.00","114,095.00","115,753.00","115,254.00","114,458.00","113,562.00","114,597.00","114,597.00","114,646.00","113,543.00","115,018.00","117,433.00","116,521.00"
Mitsubishi,L200 Triton HLS 2.4 Flex 16V CD Mec.,2015,"70,265.00","70,020.00","68,895.00","69,670.00","70,113.00","70,110.00","71,085.00","71,265.00","71,558.00","71,590.00","70,371.00","70,582.00","71,274.00","69,787.00","69,715.00","68,473.00","68,400.00","68,318.00","68,201.00","67,460.00","67,130.00","67,400.00","66,464.00","65,810.00","64,550.00","64,648.00","63,881.00","63,661.00","63,192.00","64,020.00","63,589.00","63,410.00","63,276.00","62,784.00","63,613.00","64,441.00"
Mitsubishi,L200 Triton HLS 2.4 Flex 16V CD Mec.,2016,"74,869.00","74,953.00","76,717.00","76,705.00","76,102.00","75,612.00","76,612.00","75,198.00","75,380.00","75,080.00","74,515.00","74,468.00","75,428.00","75,904.00","75,003.00","74,594.00","73,943.00","74,940.00","73,805.00","73,077.00","74,064.00","73,558.00","72,197.00","70,829.00","71,761.00","72,732.00","72,035.00","73,005.00","74,015.00","73,776.00","74,785.00","72,672.00","72,149.00","71,993.00","71,266.00","72,872.00"
Mitsubishi,L200 Triton HLS 2.4 Flex 16V CD Mec.,2017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"75,759.00","76,147.00","76,358.00","76,198.00","76,386.00","75,568.00","77,381.00","75,523.00","77,335.00","77,334.00","77,171.00","77,016.00"
Mitsubishi,ASX 2.0 16V 160cv Mec.,2015,"77,120.00","77,020.00","76,813.00","76,547.00","75,527.00","75,208.00","76,022.00","76,102.00","76,315.00","76,350.00","76,295.00","74,613.00","72,829.00","71,680.00","70,862.00","71,801.00","70,676.00","72,367.00","73,734.00","72,619.00","73,343.00","73,972.00","74,121.00","73,710.00","72,257.00","72,102.00","71,247.00","69,547.00","68,408.00","66,473.00","66,710.00","67,593.00","66,360.00","66,178.00","64,968.00","65,555.00"
Mitsubishi,ASX 2.0 16V 160cv Mec.,2016,"79,960.00","78,085.00","76,225.00","76,020.00","76,501.00","77,450.00","77,745.00","77,026.00","75,971.00","76,951.00","77,981.00","79,140.00","78,981.00","78,966.00","78,157.00","78,206.00","76,588.00","77,615.00","76,846.00","77,850.00","76,515.00","76,150.00","74,725.00","73,336.00","74,304.00","74,136.00","73,655.00","74,643.00","75,655.00","75,095.00","73,728.00","72,365.00","71,031.00","71,489.00","70,134.00","68,756.00"
Mitsubishi,ASX 2.0 16V 160cv Mec.,2017,NaN,"85,806.00","84,927.00","85,020.00","85,113.00","86,298.00","86,000.00","87,133.00","79,855.00","79,851.00","79,745.00","79,415.00","79,410.00","77,947.00","77,770.00","77,416.00","78,441.00","77,512.00","78,538.00","77,804.00","77,491.00","78,502.00","77,991.00","75,970.00","76,365.00","76,219.00","76,074.00","75,929.00","76,201.00","76,056.00","75,911.00","75,766.00","75,622.00","75,485.00","74,566.00","74,439.00"
Mitsubishi,ASX 2.0 16V 160cv Mec.,2018,"82,155.00","81,764.00","81,464.00","81,181.00","80,975.00","80,718.00","81,832.00","82,972.00","81,997.00","81,725.00","82,910.00","80,646.00","80,965.00","81,887.00","81,887.00","81,745.00","81,887.00","79,940.00","79,939.00","80,908.00","79,600.00","78,446.00","77,631.00","77,761.00","76,966.00","76,828.00","76,254.00","76,983.00","76,100.00","74,701.00","74,153.00","73,563.00","73,023.00","73,862.00","74,255.00","76,609.00"
Mitsubishi,OUTLANDER 3.0/ GT 3.0 V6 Aut.,2015,"125,135.00","125,295.00","126,776.00","127,871.00","126,859.00","126,600.00","125,858.00","126,366.00","126,810.00","127,030.00","120,371.00","121,554.00","122,690.00","121,662.00","120,449.00","117,795.00","115,566.00","114,552.00","111,339.00","108,544.00","108,145.00","107,215.00","108,712.00","107,742.00","106,242.00","103,702.00","101,899.00","103,255.00","101,859.00","101,214.00","100,691.00","97,857.00","96,334.00","96,001.00","95,214.00","96,507.00"
Mitsubishi,OUTLANDER 3.0/ GT 3.0 V6 Aut.,2016,"138,450.00","138,205.00","138,200.00","138,250.00","139,381.00","139,655.00","138,540.00","138,520.00","137,458.00","137,415.00","138,375.00","138,285.00","138,274.00","139,900.00","137,570.00","139,405.00","138,647.00","140,530.00","141,219.00","133,026.00","131,815.00","133,544.00","133,331.00","133,446.00","135,210.00","137,028.00","136,877.00","138,675.00","140,556.00","141,591.00","142,464.00","138,415.00","135,646.00","133,114.00","130,520.00","130,244.00"
Mitsubishi,OUTLANDER 3.0/ GT 3.0 V6 Aut.,2017,NaN,NaN,"143,602.00","144,198.00","146,350.00","148,325.00","147,121.00","147,020.00","147,315.00","147,975.00","146,995.00","146,900.00","146,850.00","146,812.00","146,391.00","146,388.00","147,458.00","148,895.00","148,898.00","149,370.00","146,382.00","147,322.00","145,221.00","146,465.00","142,722.00","140,062.00","138,511.00","137,371.00","136,553.00","133,578.00","131,075.00","129,945.00","127,968.00","125,439.00","122,890.00","121,846.00"
Mitsubishi,OUTLANDER 3.0/ GT 3.0 V6 Aut.,2018,"152,547.00","152,053.00","151,342.00","151,340.00","152,774.00","153,874.00","154,101.00","154,658.00","153,652.00","154,065.00","156,223.00","153,678.00","151,256.00","150,392.00","149,783.00","149,791.00","152,654.00","150,721.00","151,107.00","150,148.00","149,007.00","148,364.00","146,383.00","145,951.00","145,525.00","144,441.00","143,234.00","141,756.00","139,589.00","138,293.00","137,236.00","135,579.00","135,039.00","134,921.00","133,534.00","133,379.00"
Mitsubishi,OUTLANDER 2.0 16V 160cv Aut.,2015,"96,895.00","96,415.00","96,450.00","97,543.00","98,714.00","99,878.00","99,258.00","100,030.00","100,311.00","100,590.00","98,683.00","96,368.00","94,432.00","94,244.00","94,020.00","91,858.00","90,943.00","90,716.00","88,847.00","88,947.00","87,776.00","86,268.00","85,737.00","85,277.00","83,238.00","82,591.00","81,649.00","83,691.00","82,762.00","80,547.00","79,624.00","78,855.00","78,872.00","79,336.00","77,867.00","78,115.00"
Mitsubishi,OUTLANDER 2.0 16V 160cv Aut.,2016,"106,010.00","105,624.00","107,122.00","108,551.00","111,060.00","111,100.00","111,205.00","112,723.00","111,205.00","112,621.00","112,203.00","111,511.00","111,510.00","110,426.00","109,994.00","111,453.00","110,616.00","112,110.00","110,610.00","108,153.00","109,312.00","107,757.00","105,757.00","103,819.00","105,261.00","106,637.00","104,933.00","105,514.00","104,867.00","106,289.00","105,519.00","103,566.00","101,678.00","99,809.00","97,917.00","98,513.00"
Mitsubishi,OUTLANDER 2.0 16V 160cv Aut.,2017,NaN,NaN,NaN,"120,064.00","119,666.00","121,235.00","120,905.00","120,690.00","121,332.00","119,174.00","118,912.00","118,910.00","118,894.00","118,809.00","118,472.00","118,470.00","118,894.00","118,985.00","119,315.00","119,523.00","118,021.00","118,205.00","117,164.00","117,641.00","114,832.00","112,444.00","110,937.00","110,075.00","109,547.00","107,672.00","106,472.00","105,094.00","103,665.00","102,402.00","100,977.00","99,915.00"
Mitsubishi,OUTLANDER 2.0 16V 160cv Aut.,2018,"123,132.00","122,673.00","122,396.00","122,560.00","123,050.00","123,100.00","123,510.00","124,065.00","122,155.00","122,300.00","123,798.00","121,695.00","118,691.00","116,141.00","115,768.00","115,944.00","116,947.00","116,104.00","118,569.00","119,514.00","119,985.00","120,171.00","116,365.00","116,074.00","115,548.00","113,713.00","110,793.00","109,286.00","110,281.00","108,711.00","107,213.00","105,620.00","104,568.00","104,454.00","104,411.00","106,298.00"
Mitsubishi,ASX 2.0 16V 160cv Aut.,2015,"84,450.00","84,200.00","83,140.00","84,100.00","80,895.00","81,210.00","81,903.00","81,800.00","81,894.00","81,905.00","80,758.00","81,729.00","81,500.00","81,545.00","80,488.00","79,979.00","80,094.00","80,485.00","81,765.00","80,547.00","79,532.00","78,520.00","77,577.00","76,973.00","75,814.00","74,239.00","73,138.00","72,699.00","72,536.00","71,263.00","71,370.00","71,052.00","71,374.00","71,358.00","70,070.00","68,918.00"
Mitsubishi,ASX 2.0 16V 160cv Aut.,2016,"84,369.00","84,272.00","85,216.00","85,013.00","86,236.00","88,210.00","85,599.00","85,063.00","85,160.00","83,576.00","84,644.00","85,105.00","84,934.00","84,920.00","84,539.00","85,676.00","85,810.00","86,381.00","86,099.00","81,360.00","81,964.00","81,550.00","80,036.00","80,035.00","81,103.00","82,206.00","81,197.00","81,594.00","81,394.00","82,503.00","81,576.00","80,085.00","78,574.00","77,116.00","75,601.00","76,265.00"
Mitsubishi,ASX 2.0 16V 160cv Aut.,2017,NaN,"91,090.00","90,681.00","91,325.00","91,973.00","93,237.00","92,975.00","91,261.00","92,534.00","90,625.00","89,985.00","86,595.00","86,508.00","87,635.00","86,419.00","87,260.00","88,413.00","89,647.00","88,226.00","87,442.00","87,304.00","87,298.00","86,096.00","85,324.00","84,100.00","82,763.00","82,113.00","81,759.00","81,584.00","80,398.00","78,468.00","76,584.00","76,350.00","75,645.00","75,508.00","75,379.00"
