Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
136724.0,141153.8121649904,4429.812164990406,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
138534.0,141198.29651207294,2664.296512072935,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
137962.0,141275.987888079,3313.987888078991,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
137156.0,141336.48687875224,4180.486878752243,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
134508.0,141253.19411864827,6745.194118648273,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
132048.0,141063.87696186895,9015.876961868955,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
129575.0,141015.86670869138,11440.866708691377,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
130470.0,141070.46671219345,10600.466712193447,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
131496.0,141113.5634752466,9617.5634752466,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
133305.0,141144.59673552949,7839.596735529485,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
132021.0,141153.19412617033,9132.194126170332,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
133847.0,141157.95638236566,7310.9563823656645,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
133601.0,141161.44155538405,7560.441555384052,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
131099.0,141162.07733791685,10063.077337916853,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
129812.0,141159.05907340386,11347.059073403856,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
127450.0,141149.31500551425,13699.315005514247,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
125069.0,141133.7173494111,16064.717349411105,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
125084.0,141123.76095197466,16039.760951974662,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
298400.0,246018.25,-52381.75,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
302473.0,253403.02083333334,-49069.97916666666,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
293800.0,261758.02256944444,-32041.977430555562,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
291230.0,270847.60778356483,-20382.392216435168,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
287000.0,280695.8250988619,-6304.174901138118,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
285000.0,280524.9771904337,-4475.02280956629,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
284608.0,280020.9752896365,-4587.024710363476,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
278694.0,279163.6398971062,469.63989710621536,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
271707.0,277919.1932218651,6212.193221865105,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
268950.0,276578.7093236872,7628.709323687188,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
271707.0,275206.60176732775,3499.601767327753,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
271707.0,273387.2352479384,1680.235247938428,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
268242.0,271293.67151859996,3051.6715185999637,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
266879.0,273399.95664514997,6520.95664514997,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
262075.0,275066.36796280136,12991.367962801363,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
259956.0,276175.39674558106,16219.396745581063,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
254239.0,276619.3791590824,22380.379159082426,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
252245.0,276279.67533076747,24034.675330767466,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
248299.0,275925.9001757953,27626.90017579531,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
131572.0,132070.0,498.0,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
128612.0,132105.0,3493.0,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
128380.0,132146.25,3766.25,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
127355.0,132226.9375,4871.9375,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
126636.0,132172.765625,5536.765625,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
123831.0,131985.49609375,8154.49609375,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
125992.0,131639.9541015625,5647.9541015625,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
124359.0,131656.03361002603,7297.033610026032,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
124123.0,131675.28641086153,7552.286410861532,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
123752.0,131701.06027843335,7949.060278433346,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
123033.0,131734.06530163612,8701.065301636118,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
123869.0,131777.7374101058,7908.737410105794,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
120907.0,131907.54886094795,11000.54886094795,Mês 25,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
118963.0,131894.01126602694,12931.011266026937,Mês 26,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
117588.0,131876.42887152918,14288.428871529177,Mês 27,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
118382.0,131853.94377748994,13471.943777489942,Mês 28,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
116137.0,131822.86096728078,15685.86096728078,Mês 29,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
114386.0,131793.7022458042,17407.70224580419,Mês 30,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
111686.0,131777.71942514202,20091.719425142015,Mês 31,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
110188.0,131789.19986877366,21601.199868773663,Mês 32,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
109584.0,131800.2970570026,22216.29705700261,Mês 33,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
109679.0,131810.7146108477,22131.714610847703,Mês 34,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
107697.0,131819.85247188224,24122.852471882245,Mês 35,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
107241.0,131827.0014027361,24586.00140273609,Mês 36,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
139663.0,140360.66666666666,697.666666666657,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
139555.0,140553.30555555556,998.305555555562,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
137357.0,140741.16435185185,3384.164351851854,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
139279.0,141041.4280478395,1762.428047839494,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
138262.0,141096.04705182614,2834.0470518261427,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
137613.0,141116.134306145,3503.134306144988,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
136724.0,141153.8121649904,4429.812164990406,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
138534.0,141198.29651207294,2664.296512072935,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
137962.0,141275.987888079,3313.987888078991,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
137156.0,141336.48687875224,4180.486878752243,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
134508.0,141253.19411864827,6745.194118648273,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
132048.0,141063.87696186895,9015.876961868955,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
129575.0,141015.86670869138,11440.866708691377,Mês 25,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
130470.0,141070.46671219345,10600.466712193447,Mês 26,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
131496.0,141113.5634752466,9617.5634752466,Mês 27,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
133305.0,141144.59673552949,7839.596735529485,Mês 28,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
132021.0,141153.19412617033,9132.194126170332,Mês 29,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
133847.0,141157.95638236566,7310.9563823656645,Mês 30,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
133601.0,141161.44155538405,7560.441555384052,Mês 31,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
131099.0,141162.07733791685,10063.077337916853,Mês 32,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
129812.0,141159.05907340386,11347.059073403856,Mês 33,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
127450.0,141149.31500551425,13699.315005514247,Mês 34,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
125069.0,141133.7173494111,16064.717349411105,Mês 35,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
125084.0,141123.76095197466,16039.760951974662,Mês 36,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
160025.0,155732.5,-4292.5,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
160020.0,155593.45833333334,-4426.541666666657,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
160590.0,155797.66319444444,-4792.336805555562,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
160885.0,156057.21846064815,-4827.781539351854,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
159979.0,156339.5699990355,-3639.430000964494,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
159600.0,156696.45083228845,-2903.5491677115497,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
159784.0,156917.40506831248,-2866.5949316875194,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
