Indice,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
142,157401.0,153143.0,152683.0,152669.0,282746.0,286573.0,290309.0,294097.0,294005.0,293044.0,297039.0,298510.0,Mês 6 - Mês 17,349978.68181818177,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
143,153143.0,152683.0,152669.0,282746.0,286573.0,290309.0,294097.0,294005.0,293044.0,297039.0,298510.0,349978.68181818177,Mês 7 - Mês 18,365834.56060606055,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
144,152683.0,152669.0,282746.0,286573.0,290309.0,294097.0,294005.0,293044.0,297039.0,298510.0,349978.68181818177,365834.56060606055,Mês 8 - Mês 19,377318.9892102846,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
145,152669.0,282746.0,286573.0,290309.0,294097.0,294005.0,293044.0,297039.0,298510.0,349978.68181818177,365834.56060606055,377318.9892102846,Mês 9 - Mês 20,382866.1867156412,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
146,282746.0,286573.0,290309.0,294097.0,294005.0,293044.0,297039.0,298510.0,349978.68181818177,365834.56060606055,377318.9892102846,382866.1867156412,Mês 10 - Mês 21,380048.7535768613,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
147,286573.0,290309.0,294097.0,294005.0,293044.0,297039.0,298510.0,349978.68181818177,365834.56060606055,377318.9892102846,382866.1867156412,380048.7535768613,Mês 11 - Mês 22,393420.7584805044,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
148,290309.0,294097.0,294005.0,293044.0,297039.0,298510.0,349978.68181818177,365834.56060606055,377318.9892102846,382866.1867156412,380048.7535768613,393420.7584805044,Mês 12 - Mês 23,407639.0337955045,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
149,294097.0,294005.0,293044.0,297039.0,298510.0,349978.68181818177,365834.56060606055,377318.9892102846,382866.1867156412,380048.7535768613,393420.7584805044,407639.0337955045,Mês 13 - Mês 24,422532.5027694211,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
150,294005.0,293044.0,297039.0,298510.0,349978.68181818177,365834.56060606055,377318.9892102846,382866.1867156412,380048.7535768613,393420.7584805044,407639.0337955045,422532.5027694211,Mês 14 - Mês 25,437860.793198484,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
151,293044.0,297039.0,298510.0,349978.68181818177,365834.56060606055,377318.9892102846,382866.1867156412,380048.7535768613,393420.7584805044,407639.0337955045,422532.5027694211,437860.793198484,Mês 15 - Mês 26,452441.02122044255,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
152,297039.0,298510.0,349978.68181818177,365834.56060606055,377318.9892102846,382866.1867156412,380048.7535768613,393420.7584805044,407639.0337955045,422532.5027694211,437860.793198484,452441.02122044255,Mês 16 - Mês 27,465138.5770740321,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
153,298510.0,349978.68181818177,365834.56060606055,377318.9892102846,382866.1867156412,380048.7535768613,393420.7584805044,407639.0337955045,422532.5027694211,437860.793198484,452441.02122044255,465138.5770740321,Mês 17 - Mês 28,475670.75664152525,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
161,131650.0,131610.0,131178.0,132877.0,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,Mês 1 - Mês 12,131168.5,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
