Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
53.811,48.609,0.09667168422813176,Mes 13,Ford,Fiesta Sedan 1.6 16V Flex Aut.,2016
43.894,39.096,0.10930878935617629,Mes 13,Ford,Fiesta 1.6 16V Flex Mec. 5p,2015
45.053,42.3576,0.05982731449625995,Mes 13,Ford,Fiesta 1.6 16V Flex Mec. 5p,2016
40.069,35.203500000000005,0.12142803663680145,Mes 13,Ford,Fiesta 1.5 16V Flex Mec. 5p,2015
42.639,37.394999999999996,0.12298599873355394,Mes 13,Ford,Fiesta 1.5 16V Flex Mec. 5p,2016
129.903,118.944,0.08436294773792745,Mes 13,Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2015
139.005,121.6053,0.1251731952088054,Mes 13,Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2016
155.012,143.46,0.07452326271514459,Mes 13,Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2017
156.899,143.8056,0.08345113735587864,Mes 13,Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2018
160.42,147.4065,0.08112143124298712,Mes 13,Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2019
185.834,148.9959,0.1982312171077413,Mes 13,Ford,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.,2020
150.566,145.0935,0.036346187054182195,Mes 17,Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2015
164.929,153.9657,0.06647284589126232,Mes 16,Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2016
176.305,156.70350000000002,0.11117949008819936,Mes 14,Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2017
165.149,164.8602,0.0017487238796481301,Mes 28,Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2018
184.526,170.9379,0.0736378613311945,Mes 16,Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2019
188.997,176.5602,0.06580421911458914,Mes 15,Ford,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.,2020
105.952,93.8079,0.11461888402295374,Mes 13,Ford,Ranger XLS 3.2 20V 4x4 CD Diesel Mec.,2015
107.509,99.8973,0.07080058413714199,Mes 13,Ford,Ranger XLS 3.2 20V 4x4 CD Diesel Mec.,2016
94.066,81.7929,0.13047328471498734,Mes 13,Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2015
93.363,90.6327,0.02924391889720767,Mes 13,Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2016
105.095,98.145,0.06613064370331607,Mes 13,Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2017
106.728,98.019,0.08159995502586004,Mes 13,Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2018
110.915,100.57860000000001,0.09319208402830995,Mes 13,Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2019
118.985,104.4747,0.1219506660503425,Mes 13,Ford,Ranger XLS 2.2 4x4 CD Diesel Mec.,2020
55.36,52.3008,0.05526011560693636,Mes 21,Honda,CITY Sedan DX 1.5 Flex 16V Aut.,2016
59.672,52.0371,0.12794778120391465,Mes 15,Honda,CITY Sedan DX 1.5 Flex 16V Aut.,2017
60.452,55.5678,0.08079468007675511,Mes 13,Honda,CITY Sedan EX 1.5 Flex 16V 4p Aut.,2015
62.975,56.6262,0.10081460897181428,Mes 14,Honda,CITY Sedan EX 1.5 Flex 16V 4p Aut.,2016
67.895,59.039100000000005,0.13043523087119804,Mes 14,Honda,CITY Sedan EX 1.5 Flex 16V 4p Aut.,2017
69.455,62.6841,0.09748614210639979,Mes 15,Honda,CITY Sedan EX 1.5 Flex 16V 4p Aut.,2018
69.251,64.8108,0.06411748566807705,Mes 13,Honda,CITY Sedan EX 1.5 Flex 16V 4p Aut.,2019
75.478,64.4229,0.14646784493494788,Mes 13,Honda,CITY Sedan EX 1.5 Flex 16V 4p Aut.,2020
47.325,44.0757,0.06865927099841532,Mes 13,Honda,CITY Sedan DX 1.5 Flex 16V Mec.,2015
49.746,45.9108,0.07709564588107587,Mes 15,Honda,CITY Sedan DX 1.5 Flex 16V Mec.,2016
54.32,48.4443,0.10816826215022095,Mes 15,Honda,CITY Sedan DX 1.5 Flex 16V Mec.,2017
52.978,50.4459,0.04779531126127826,Mes 15,Honda,CITY Sedan DX 1.5 Flex 16V Mec.,2018
55.21,52.072199999999995,0.056833906900923846,Mes 13,Honda,CITY Sedan DX 1.5 Flex 16V Mec.,2019
58.784,51.4035,0.1255528715296679,Mes 13,Honda,CITY Sedan DX 1.5 Flex 16V Mec.,2020
49.966,45.558,0.08821998959292321,Mes 13,Honda,Fit DX 1.5 Flexone 16V 5p Aut.,2015
53.181,46.467000000000006,0.12624809612455562,Mes 13,Honda,Fit DX 1.5 Flexone 16V 5p Aut.,2016
57.714,49.401,0.14403784177149384,Mes 13,Honda,Fit DX 1.5 Flexone 16V 5p Aut.,2017
123.733,113.90400000000001,0.07943717520790729,Mes 13,Honda,Fit CX 1.4 Flex 16V 5p Aut.,2015
134.793,140.12910000000002,0.03958736729652145,Mes 16,Honda,Fit CX 1.4 Flex 16V 5p Aut.,2016
45.256,41.4,0.08520417182252081,Mes 13,Honda,Fit CX 1.4 Flex 16V 5p Aut.,2015
72.832,50.3667,0.3084537016695957,Mes 22,Honda,Fit DX 1.5 Flexone 16V 5p Mec.,2020
77.289,72.60300000000001,0.06062958506385117,Mes 13,Honda,Civic Sedan EXR 2.0 Flexone 16V Aut. 4p,2016
106.152,96.8373,0.08774869997739093,Mes 13,Honda,Civic Coupe Si 2.4 16V 206cv Mec. 2p,2015
45.049,38.8818,0.13689982019578684,Mes 13,Hyundai,HB20 C.Style/C.Plus 1.6 Flex 16V Aut.,2015
47.399,43.14960000000001,0.08965168041519851,Mes 13,Hyundai,HB20 C.Style/C.Plus 1.6 Flex 16V Aut.,2016
50.204,44.2872,0.11785515098398539,Mes 13,Hyundai,HB20 C.Style/C.Plus 1.6 Flex 16V Aut.,2017
50.364,46.719,0.0723731236597569,Mes 13,Hyundai,HB20 C.Style/C.Plus 1.6 Flex 16V Aut.,2018
52.267,47.457,0.09202747431457711,Mes 13,Hyundai,HB20 C.Style/C.Plus 1.6 Flex 16V Aut.,2019
45.02,40.945499999999996,0.09050422034651283,Mes 13,Hyundai,HB20 Copa do Mundo 1.6 Flex 16V Aut.,2015
52.099,48.8763,0.06185723334420999,Mes 13,Hyundai,HB20 Copa do Mundo 1.6 Flex 16V Aut.,2019
41.64,36.3195,0.1277737752161384,Mes 13,Hyundai,HB20 C./C.Plus/C.Style 1.6 Flex 16V Mec.,2015
41.176,38.8656,0.056110355546920565,Mes 13,Hyundai,HB20 C./C.Plus/C.Style 1.6 Flex 16V Mec.,2016
46.035,38.8935,0.15513196480938404,Mes 13,Hyundai,HB20 C./C.Plus/C.Style 1.6 Flex 16V Mec.,2017
46.52,43.083,0.07388220120378342,Mes 13,Hyundai,HB20 C./C.Plus/C.Style 1.6 Flex 16V Mec.,2018
48.145,43.5897,0.09461626337106661,Mes 13,Hyundai,HB20 C./C.Plus/C.Style 1.6 Flex 16V Mec.,2019
38.451,33.7905,0.12120621050167743,Mes 13,Hyundai,HB20 Copa do Mundo 1.0 Flex 12V Mec.,2015
44.167,39.366,0.10870106640704602,Mes 13,Hyundai,HB20 Copa do Mundo 1.0 Flex 12V Mec.,2019
46.67,43.6635,0.06442039854296128,Mes 13,Hyundai,HB20S Copa do Mundo 1.6 Flex 16V Aut.,2015
57.445,52.8867,0.07935068326225089,Mes 13,Hyundai,HB20S Copa do Mundo 1.6 Flex 16V Aut.,2019
50.79,46.132200000000005,0.09170702894270515,Mes 13,Hyundai,HB20S Premium 1.6 Flex 16V Aut. 4p,2015
57.096,49.3344,0.13593947036569978,Mes 13,Hyundai,HB20S Premium 1.6 Flex 16V Aut. 4p,2016
60.054,52.9596,0.11813367968828055,Mes 13,Hyundai,HB20S Premium 1.6 Flex 16V Aut. 4p,2017
60.855,56.2725,0.07530194725166373,Mes 13,Hyundai,HB20S Premium 1.6 Flex 16V Aut. 4p,2018
64.173,56.929500000000004,0.11287457341872746,Mes 13,Hyundai,HB20S Premium 1.6 Flex 16V Aut. 4p,2019
43.738,38.3085,0.1241369061228222,Mes 13,Hyundai,HB20S C.Plus/C.Style 1.6 Flex 16V Mec.4p,2015
46.756,41.3406,0.11582256822653773,Mes 13,Hyundai,HB20S C.Plus/C.Style 1.6 Flex 16V Mec.4p,2016
49.985,43.757999999999996,0.12457737321196367,Mes 13,Hyundai,HB20S C.Plus/C.Style 1.6 Flex 16V Mec.4p,2017
51.838,46.570499999999996,0.1016146456267604,Mes 13,Hyundai,HB20S C.Plus/C.Style 1.6 Flex 16V Mec.4p,2018
52.719,48.24,0.08495988163660159,Mes 13,Hyundai,HB20S C.Plus/C.Style 1.6 Flex 16V Mec.4p,2019
39.356,36.0477,0.08406088017074913,Mes 13,Hyundai,HB20S Copa do Mundo 1.0 Flex 12V Mec.,2015
48.521,43.029,0.11318810411986557,Mes 13,Hyundai,HB20S Copa do Mundo 1.0 Flex 12V Mec.,2019
85.322,80.41499999999999,0.0575115445020043,Mes 13,Hyundai,ix35 GLS 2.0 16V 2WD Flex Aut.,2015
