X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
59723.0,60468.0,61250.0,59495.0,58992.0,59010.0,59834.0,58899.0,59499.393939393936,59478.131313131315,59397.80869299051,59247.827109478625,Mês 5 - Mês 16,59001.14823935715,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
60468.0,61250.0,59495.0,58992.0,59010.0,59834.0,58899.0,59499.393939393936,59478.131313131315,59397.80869299051,59247.827109478625,59001.14823935715,Mês 6 - Mês 17,58823.341846946154,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
61250.0,59495.0,58992.0,59010.0,59834.0,58899.0,59499.393939393936,59478.131313131315,59397.80869299051,59247.827109478625,59001.14823935715,58823.341846946154,Mês 7 - Mês 18,58777.108403760714,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59495.0,58992.0,59010.0,59834.0,58899.0,59499.393939393936,59478.131313131315,59397.80869299051,59247.827109478625,59001.14823935715,58823.341846946154,58777.108403760714,Mês 8 - Mês 19,58956.099789500746,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
58992.0,59010.0,59834.0,58899.0,59499.393939393936,59478.131313131315,59397.80869299051,59247.827109478625,59001.14823935715,58823.341846946154,58777.108403760714,58956.099789500746,Mês 9 - Mês 20,58934.88640668015,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59010.0,59834.0,58899.0,59499.393939393936,59478.131313131315,59397.80869299051,59247.827109478625,59001.14823935715,58823.341846946154,58777.108403760714,58956.099789500746,58934.88640668015,Mês 10 - Mês 21,58824.400390669325,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59834.0,58899.0,59499.393939393936,59478.131313131315,59397.80869299051,59247.827109478625,59001.14823935715,58823.341846946154,58777.108403760714,58956.099789500746,58934.88640668015,58824.400390669325,Mês 11 - Mês 22,58683.49995689671,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
58899.0,59499.393939393936,59478.131313131315,59397.80869299051,59247.827109478625,59001.14823935715,58823.341846946154,58777.108403760714,58956.099789500746,58934.88640668015,58824.400390669325,58683.49995689671,Mês 12 - Mês 23,58678.856936533106,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59499.393939393936,59478.131313131315,59397.80869299051,59247.827109478625,59001.14823935715,58823.341846946154,58777.108403760714,58956.099789500746,58934.88640668015,58824.400390669325,58683.49995689671,58678.856936533106,Mês 13 - Mês 24,58526.62836588633,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59478.131313131315,59397.80869299051,59247.827109478625,59001.14823935715,58823.341846946154,58777.108403760714,58956.099789500746,58934.88640668015,58824.400390669325,58683.49995689671,58678.856936533106,58526.62836588633,Mês 14 - Mês 25,58461.019731416614,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59397.80869299051,59247.827109478625,59001.14823935715,58823.341846946154,58777.108403760714,58956.099789500746,58934.88640668015,58824.400390669325,58683.49995689671,58678.856936533106,58526.62836588633,58461.019731416614,Mês 15 - Mês 26,58413.24791504558,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59247.827109478625,59001.14823935715,58823.341846946154,58777.108403760714,58956.099789500746,58934.88640668015,58824.400390669325,58683.49995689671,58678.856936533106,58526.62836588633,58461.019731416614,58413.24791504558,Mês 16 - Mês 27,58378.74637296257,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59001.14823935715,58823.341846946154,58777.108403760714,58956.099789500746,58934.88640668015,58824.400390669325,58683.49995689671,58678.856936533106,58526.62836588633,58461.019731416614,58413.24791504558,58378.74637296257,Mês 17 - Mês 28,58345.68280419535,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
