Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
81,304034.0,312987.85756394174,0.02945018505805844,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
82,300774.0,313217.3456942702,0.0413710815903975,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
83,293340.0,314164.45783545944,0.07099085646505571,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
84,288127.0,314249.40571063664,0.09066281782212926,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
85,285947.0,314293.8903300415,0.0991333720236321,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
86,280655.0,314282.0987352456,0.11981649617945729,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
87,275447.0,314232.2523584696,0.14080840364378477,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
88,267963.0,314145.1947887916,0.17234541630296565,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
89,262578.0,314044.2647605668,0.19600371988729756,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
90,260762.0,313957.22004160454,0.20399912579902185,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
91,261439.0,313916.4576975336,0.20072543766436377,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
92,252753.0,313911.7056569397,0.24197024627577007,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
93,252947.0,313950.1792644584,0.24116980736857294,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
94,131572.0,132070.0,0.0037849998479919738,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
95,128612.0,132105.0,0.027159207538954375,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
96,128380.0,132146.25,0.029336734693877552,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
97,127355.0,132226.9375,0.03825477994582074,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
98,126636.0,132172.765625,0.0437218928661676,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
99,123831.0,131985.49609375,0.0658518149231614,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
100,125992.0,131639.9541015625,0.044827878766608195,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
101,124359.0,131656.03361002603,0.05867716538429894,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
102,124123.0,131675.28641086153,0.060845181077330814,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
103,123752.0,131701.06027843335,0.06423379241089716,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
